time,tavg,tmin,tmax,prcp,wspd,pres
2022-03-03,21.7,15.8,29.3,0.0,9.3,1012.7
2022-03-04,21.6,15.0,29.8,0.0,8.5,1011.4
2022-03-05,21.9,15.9,30.2,0.0,7.8,1010.5
2022-03-06,22.2,16.7,30.8,0.0,9.9,1009.5
2022-03-07,21.7,15.0,29.6,0.0,7.0,1010.1
2022-03-08,21.2,16.2,28.5,0.8,6.5,1010.9
2022-03-09,20.7,14.8,28.8,2.6,7.0,1011.0
2022-03-10,22.0,16.4,30.8,0.0,8.7,1010.6
2022-03-11,22.6,15.8,31.3,0.0,9.3,1009.6
2022-03-12,22.4,16.7,31.1,1.4,8.8,1009.6
2022-03-13,20.7,15.5,28.1,0.2,8.5,1011.1
2022-03-14,20.8,16.6,27.0,1.5,9.0,1012.7
2022-03-15,21.5,15.1,29.7,0.1,6.9,1011.8
2022-03-16,20.8,16.3,26.3,1.5,6.1,1011.9
2022-03-17,19.5,15.9,25.3,11.7,7.5,1013.4
2022-03-18,20.2,14.7,27.0,0.3,8.2,1013.7
2022-03-19,21.0,14.8,27.6,0.1,5.2,1013.6
2022-03-20,21.9,16.4,28.8,0.0,9.5,1011.9
2022-03-21,21.8,16.3,27.6,0.3,6.7,1011.4
2022-03-22,20.3,15.3,27.1,4.8,6.1,1013.2
2022-03-23,20.6,16.0,27.6,0.8,4.9,1014.9
2022-03-24,21.0,16.1,27.3,0.8,5.1,1014.6
2022-03-25,20.6,15.5,28.9,7.0,6.3,1013.5
2022-03-26,20.4,16.2,26.8,4.2,6.1,1013.9
2022-03-27,20.7,16.7,27.8,5.6,8.3,1013.7
2022-03-28,20.4,15.9,27.6,5.3,6.0,1013.7
2022-03-29,20.4,16.3,26.8,3.6,7.5,1011.7
2022-03-30,19.2,15.9,25.8,9.1,5.9,1013.0
2022-03-31,20.7,15.1,28.2,0.2,8.3,1012.0
2022-04-01,21.0,15.2,27.4,0.3,12.0,1012.9
2022-04-02,21.2,15.4,28.1,0.7,12.3,1012.7
2022-04-03,21.4,15.3,28.4,0.0,10.2,1011.8
2022-04-04,21.3,16.5,28.4,0.0,8.3,1012.7
2022-04-05,19.9,15.8,27.1,7.1,8.3,1014.3
2022-04-06,21.5,15.9,28.2,0.1,8.8,1012.8
2022-04-07,21.1,16.8,27.8,0.4,6.9,1013.5
2022-04-08,21.4,15.5,28.7,0.0,6.9,1013.4
2022-04-09,22.0,16.1,29.1,0.0,12.8,1011.6
2022-04-10,22.4,16.5,29.2,0.1,12.7,1011.2
2022-04-11,21.8,16.9,28.6,0.8,11.2,1012.3
2022-04-12,20.4,15.7,25.7,2.3,4.4,1012.8
2022-04-13,20.8,16.6,27.8,1.0,8.8,1010.8
2022-04-14,20.6,16.2,28.9,10.6,9.1,1010.7
2022-04-15,19.9,17.3,26.3,9.5,12.0,1012.4
2022-04-16,19.2,15.8,25.4,7.0,4.8,1014.5
2022-04-17,18.7,15.4,25.2,14.2,6.4,1014.3
2022-04-18,19.9,16.3,26.9,8.1,10.4,1013.0
2022-04-19,20.2,16.4,27.2,10.5,8.2,1013.5
2022-04-20,19.5,16.6,24.3,12.1,7.9,1014.0
2022-04-21,19.1,16.1,25.1,24.5,7.4,1013.9
2022-04-22,19.1,16.3,25.2,12.5,7.2,1013.8
2022-04-23,19.3,15.1,25.6,14.9,6.4,1013.2
2022-04-24,18.6,16.4,21.4,21.2,7.3,1013.4
2022-04-25,19.0,16.0,26.2,15.9,7.5,1012.9
2022-04-26,18.5,14.8,24.0,12.5,6.4,1013.9
2022-04-27,19.1,15.9,25.8,16.9,8.2,1013.0
2022-04-28,18.4,15.9,22.3,14.0,8.7,1013.9
2022-04-29,18.9,16.3,24.5,9.4,7.7,1015.1
2022-04-30,19.4,15.1,26.2,2.5,7.5,1015.1
2022-05-01,18.6,15.2,23.4,14.3,6.7,1016.1
2022-05-02,19.2,15.2,24.5,3.7,8.3,1016.0
2022-05-03,19.2,15.4,25.5,3.1,9.5,1015.6
2022-05-04,19.3,16.5,25.0,8.4,11.3,1016.5
2022-05-05,19.9,16.4,25.5,2.3,14.9,1016.4
2022-05-06,19.3,16.0,25.8,3.4,11.2,1015.4
2022-05-07,19.4,16.1,26.7,11.3,11.6,1014.9
2022-05-08,19.6,16.6,26.4,12.7,10.7,1014.9
2022-05-09,19.6,17.0,26.9,6.0,10.5,1015.3
2022-05-10,20.7,16.4,28.2,3.7,9.2,1013.9
2022-05-11,20.8,16.2,26.8,0.2,9.3,1014.3
2022-05-12,20.8,15.9,26.3,0.0,7.4,1015.2
2022-05-13,20.6,16.1,26.9,0.3,8.2,1015.2
2022-05-14,21.1,16.4,27.1,0.9,9.3,1015.0
2022-05-15,20.5,15.6,27.3,0.1,9.1,1016.1
2022-05-16,20.8,15.6,26.8,0.0,10.6,1016.4
2022-05-17,20.7,16.4,26.1,0.6,9.8,1015.6
2022-05-18,20.3,17.0,26.2,3.3,11.2,1015.1
2022-05-19,19.9,16.4,26.5,9.1,9.8,1015.1
2022-05-20,20.2,16.5,26.1,2.6,9.0,1014.8
2022-05-21,20.9,17.1,26.8,0.0,9.5,1015.1
2022-05-22,20.4,15.5,26.1,1.5,5.2,1015.1
2022-05-23,19.4,15.8,25.9,11.9,8.0,1015.2
2022-05-24,20.7,17.6,26.9,3.2,10.1,1014.2
2022-05-25,19.7,17.0,26.6,12.9,5.7,1016.1
2022-05-28,18.2,14.4,24.4,9.1,6.5,1016.0
2022-05-29,17.8,15.1,22.6,8.6,5.3,1016.8
2022-05-30,17.9,15.4,23.2,5.3,5.5,1017.4
2022-05-31,19.3,15.7,26.1,0.1,8.8,1015.2
2022-06-01,20.0,16.1,24.8,0.3,9.7,1014.1
2022-06-02,19.7,15.3,24.8,0.3,15.5,1014.3
2022-06-03,19.3,14.4,25.2,0.0,17.1,1014.9
2022-06-04,19.6,15.0,24.8,0.0,17.6,1014.3
2022-06-05,20.0,15.5,26.6,0.0,10.9,1014.7
2022-06-06,18.6,13.8,24.2,0.2,7.4,1015.1
2022-06-07,18.7,14.8,24.1,3.1,9.8,1015.5
2022-06-08,17.8,15.4,22.5,2.7,11.1,1016.3
2022-06-09,17.9,15.6,23.7,9.5,10.6,1016.3
2022-06-10,18.9,14.7,24.2,0.5,6.9,1016.2
2022-06-11,19.3,15.2,24.9,0.3,11.3,1016.2
2022-06-12,19.9,15.5,25.1,0.1,10.6,1015.4
2022-06-13,19.4,14.8,24.9,0.3,9.9,1015.4
2022-06-14,19.2,14.9,24.9,0.8,8.5,1015.7
2022-06-15,19.3,14.5,25.4,0.2,6.9,1014.6
2022-06-16,20.2,14.9,26.4,0.0,11.7,1013.8
2022-06-17,20.4,15.9,25.9,0.0,14.6,1013.2
2022-06-18,19.7,14.9,24.7,0.6,10.9,1013.9
2022-06-19,18.4,14.8,23.9,4.4,8.8,1015.4
2022-06-20,18.4,15.0,24.1,2.1,7.5,1016.8
2022-06-21,18.8,14.0,25.5,0.0,8.3,1015.5
2022-06-22,18.6,12.7,24.6,0.0,6.4,1014.7
2022-06-23,18.9,15.0,25.0,2.4,6.8,1015.4
2022-06-24,19.0,14.4,25.0,1.0,10.8,1015.3
2022-06-25,18.4,14.4,24.9,6.1,10.3,1015.7
2022-06-26,18.3,14.7,24.1,2.9,9.8,1017.2
2022-06-27,19.6,15.7,24.9,0.5,11.7,1016.8
2022-06-28,18.8,13.6,24.3,0.5,10.8,1016.9
2022-06-29,18.5,13.7,24.5,0.1,11.2,1017.3
